Symbol,Company,Grade,Current Price,Value,Growth,Momentum,VGM,Quant
ADM,Archer Daniels Midland Company,2-Buy,83.61,A,A,B,A,87.5
AAT,American Assets Trust Inc.,3-Hold,26.37,C,B,C,B,62.5
AB,AllianceBernstein Holding L.P.,3-Hold,35.51,B,B,F,B,62.5
AAPL,Apple Inc.,3-Hold,126.75,C,C,D,D,37.5
ABNB,Airbnb Inc.,4-Sell,87.9,D,A,F,B,50.0
ABM,ABM Industries Incorporated,4-Sell,44.93,A,B,C,A,62.5
ABBV,AbbVie Inc.,3-Hold,163.81,B,A,B,A,75.0
AAN,The Aaron's Company Inc.,4-Sell,12.49,A,B,D,A,62.5
ABC,AmerisourceBergen Corporation,3-Hold,162.2,A,B,A,A,75.0
ACDC,ProFrac Holding Corp.,2-Buy,21.38,A,A,A,A,87.5
ABB,ABB Ltd,4-Sell,31.75,C,C,D,D,25.0
ABCB,Ameris Bancorp,3-Hold,46.02,B,D,C,C,50.0
ABCM,Abcam PLC Sponsored ADR,3-Hold,17.03,D,C,C,D,37.5
ACGL,Arch Capital Group Ltd.,4-Sell,62.76,B,C,B,B,50.0
ACI,Albertsons Companies Inc.,3-Hold,20.8,A,A,A,A,75.0
ABR,Arbor Realty Trust,3-Hold,13.66,C,F,F,F,25.0
AAP,Advance Auto Parts Inc.,3-Hold,152.93,A,D,C,C,50.0
ACLS,Axcelis Technologies Inc.,3-Hold,81.09,C,A,B,A,75.0
ACAD,ACADIA Pharmaceuticals Inc.,4-Sell,16.89,D,A,C,C,37.5
ACLX,Arcellx Inc.,3-Hold,32.87,C,B,B,B,62.5
ACIW,ACI Worldwide Inc.,4-Sell,26.54,B,F,F,D,25.0
ABT,Abbott Laboratories,3-Hold,110.56,C,B,B,B,62.5
ACRE,Ares Commercial Real Estate Corporation,4-Sell,10.74,C,D,B,C,37.5
ACN,Accenture PLC,3-Hold,262.66,C,B,B,A,75.0
ADBE,Adobe Inc.,3-Hold,330.51,C,B,C,B,62.5
ACM,AECOM,3-Hold,83.01,C,B,B,B,62.5
ACRS,Aclaris Therapeutics Inc.,3-Hold,15.09,F,B,D,D,37.5
ADEA,Adeia Inc.,5-Strong Sell,10.32,B,B,B,B,37.5
ADC,Agree Realty Corporation,3-Hold,68.94,F,B,B,C,50.0
ADI,Analog Devices Inc.,3-Hold,164.78,C,A,D,B,62.5
ADSK,Autodesk Inc.,3-Hold,181.13,D,A,D,B,62.5
ADP,Automatic Data Processing Inc.,3-Hold,232.93,D,C,B,C,50.0
ADNT,Adient,3-Hold,36.99,A,A,C,A,75.0
AEE,Ameren Corporation,3-Hold,86.27,C,B,B,C,50.0
ADTN,ADTRAN Holdings Inc.,4-Sell,18.79,C,F,A,C,37.5
AEHR,Aehr Test Systems,3-Hold,17.21,F,B,B,C,50.0
AES,The AES Corporation,3-Hold,26.19,C,B,D,B,62.5
AEL,American Equity Investment Life Holding Company,3-Hold,46.04,A,F,D,C,50.0
AFYA,Afya Limited,2-Buy,13.94,A,A,A,A,87.5
AFL,Aflac Incorporated,3-Hold,71.53,B,F,A,C,50.0
AGCO,AGCO Corporation,3-Hold,134.93,B,F,B,C,50.0
AEO,American Eagle Outfitters Inc.,2-Buy,14.86,A,F,C,C,62.5
AGNC,AGNC Investment Corp.,3-Hold,10.65,B,D,C,C,50.0
AGL,Agilon Health Inc.,4-Sell,15.75,D,A,C,B,50.0
AEP,American Electric Power Company Inc.,3-Hold,93.77,C,B,D,B,62.5
AGIO,Agios Pharmaceuticals Inc.,3-Hold,28.65,F,C,D,F,25.0
AGTI,Agiliti Inc.,3-Hold,16.66,B,C,D,C,50.0
AGI,Alamos Gold Inc.,3-Hold,10.54,D,F,F,F,25.0
AGR,Avangrid Inc.,4-Sell,42.97,D,F,A,D,25.0
AI,C3.ai Inc.,4-Sell,10.98,F,F,F,F,12.5
AHH,Armada Hoffler Properties Inc.,3-Hold,11.45,D,C,D,D,37.5
AEM,Agnico Eagle Mines Limited,1-Strong Buy,54.02,F,C,D,D,62.5
AJG,Arthur J. Gallagher & Co.,3-Hold,186.04,D,B,C,C,50.0
AIG,American International Group Inc.,3-Hold,63.29,A,C,D,B,62.5
AIRC,Apartment Income REIT Corp.,3-Hold,33.77,D,C,B,C,50.0
AKR,Acadia Realty Trust,3-Hold,14.39,C,D,F,D,37.5
AKAM,Akamai Technologies Inc.,3-Hold,84.67,B,C,B,B,62.5
ALB,Albemarle Corporation,3-Hold,221.05,C,A,D,B,62.5
AFG,American Financial Group Inc.,3-Hold,137.82,B,D,B,B,62.5
AIZ,Assurant Inc.,5-Strong Sell,126.77,B,F,D,D,12.5
ALC,Alcon,3-Hold,70.3,C,C,A,B,62.5
ALGN,Align Technology Inc.,5-Strong Sell,221.01,D,B,C,C,25.0
AHCO,AdaptHealth Corp.,3-Hold,19.67,A,D,D,B,62.5
ALE,Allete Inc.,2-Buy,63.98,C,D,D,C,62.5
ALHC,Alignment Healthcare Inc.,4-Sell,11.52,D,A,A,A,62.5
AKRO,Akero Therapeutics Inc.,3-Hold,43.8,C,C,A,B,62.5
ALKS,Alkermes plc,4-Sell,25.06,D,B,B,B,50.0
ALK,Alaska Air Group Inc.,3-Hold,44.1,A,A,F,A,75.0
AER,Aercap Holdings N.V.,3-Hold,59.48,B,D,C,C,50.0
ALLE,Allegion PLC,2-Buy,107.62,C,D,F,D,50.0
ALL,The Allstate Corporation,3-Hold,137.65,A,C,D,B,62.5
ALLY,Ally Financial Inc.,5-Strong Sell,24.8,A,C,F,C,25.0
ALTR,Altair Engineering Inc.,1-Strong Buy,46.29,F,D,D,F,50.0
ALT,Altimmune Inc.,3-Hold,14.05,F,C,B,D,37.5
ALNY,Alnylam Pharmaceuticals Inc.,4-Sell,226.27,F,C,B,D,25.0
AM,Antero Midstream Corporation,4-Sell,10.82,D,C,C,D,25.0
AMAT,Applied Materials Inc.,3-Hold,98.72,C,D,D,D,37.5
AMD,Advanced Micro Devices Inc.,3-Hold,63.4,C,C,D,C,50.0
AMCR,Amcor PLC,4-Sell,11.92,C,C,B,B,50.0
AMBA,Ambarella Inc.,3-Hold,79.76,F,D,F,F,25.0
ALRM,Alarm.com Holdings Inc.,3-Hold,48.27,D,C,F,F,25.0
ALGM,Allegro MicroSystems Inc.,3-Hold,29.33,D,A,C,B,62.5
ALV,Autoliv Inc.,3-Hold,77.73,A,B,C,A,75.0
AMED,Amedisys Inc.,4-Sell,82.29,B,D,D,C,37.5
AME,AMETEK Inc.,3-Hold,138.6,D,C,F,D,37.5
AMCX,AMC Networks Inc.,4-Sell,16.83,A,F,C,D,25.0
AMGN,Amgen Inc.,3-Hold,264.92,B,C,C,B,62.5
AMEH,Apollo Medical Holdings Inc.,3-Hold,28.16,B,D,A,B,62.5
AMG,Affiliated Managers Group Inc.,3-Hold,160.91,A,C,F,B,62.5
AMH,American Homes 4 Rent,3-Hold,29.51,D,B,F,D,37.5
AMKR,Amkor Technology Inc.,3-Hold,25.96,A,C,C,A,75.0
AMLX,Amylyx Pharmaceuticals Inc.,2-Buy,35.05,D,D,B,D,50.0
AMN,AMN Healthcare Services Inc,2-Buy,106.95,A,A,B,A,87.5
AMP,Ameriprise Financial Inc.,3-Hold,310.09,B,F,A,C,50.0
AMPL,Amplitude Inc.,2-Buy,12.03,F,B,F,D,50.0
AMR,Alpha Metallurgical Resources Inc.,3-Hold,140.02,A,A,B,A,75.0
AMRC,Ameresco Inc.,4-Sell,55.37,D,C,D,D,25.0
AMT,American Tower Corporation,4-Sell,212.11,F,C,D,D,25.0
AN,AutoNation Inc.,3-Hold,108.59,A,A,D,A,75.0
AMZN,Amazon.com Inc.,5-Strong Sell,84.01,D,D,B,D,12.5
AMX,America Movil S.A.B. de C.V.,2-Buy,18.79,A,C,F,B,75.0
ANF,Abercrombie & Fitch Company,3-Hold,24.14,B,F,B,D,37.5
ANET,Arista Networks Inc.,1-Strong Buy,110.83,D,D,B,D,62.5
ANGO,AngioDynamics Inc.,3-Hold,15.28,C,C,D,C,50.0
ANSS,ANSYS Inc.,3-Hold,234.08,D,B,D,D,37.5
AON,Aon plc,4-Sell,299.55,D,F,A,D,25.0
APAM,Artisan Partners Asset Management Inc.,4-Sell,31.33,B,A,C,A,62.5
AOS,A. O. Smith Corporation,2-Buy,59.56,B,D,F,D,50.0
APA,APA Corporation,3-Hold,41.8,A,A,D,A,75.0
APG,APi Group Corporation,4-Sell,18.56,B,B,A,A,62.5
APD,Air Products and Chemicals Inc.,3-Hold,302.27,D,C,C,D,37.5
APH,Amphenol Corporation,3-Hold,76.86,D,B,C,C,50.0
APPS,Digital Turbine Inc.,3-Hold,15.02,B,A,F,A,75.0
APLS,Apellis Pharmaceuticals Inc.,3-Hold,46.94,F,C,A,D,37.5
APPN,Appian Corporation,4-Sell,31.62,F,F,A,F,12.5
APP,AppLovin Corporation,3-Hold,9.82,B,A,F,B,62.5
AA,Alcoa,3-Hold,45.01,A,B,F,A,75.0
AQUA,Evoqua Water Technologies,3-Hold,38.98,C,A,A,A,75.0
AR,Antero Resources Corporation,3-Hold,27.97,A,A,C,A,75.0
ARCH,Arch Resources Inc.,5-Strong Sell,133.89,A,A,B,A,50.0
ARCT,Arcturus Therapeutics Holdings Inc.,3-Hold,16.8,D,D,A,D,37.5
ARHS,Arhaus Inc.,3-Hold,10.25,B,A,D,A,75.0
ARI,Apollo Commercial Real Estate Finance,3-Hold,11.04,C,D,B,C,50.0
APO,Apollo Global Management Inc.,3-Hold,63.48,C,B,F,C,50.0
ARE,Alexandria Real Estate Equities Inc.,4-Sell,142.62,D,C,B,D,25.0
ARES,Ares Management Corporation,4-Sell,68.17,D,F,F,F,12.5
APTV,Aptiv PLC,3-Hold,96.01,B,D,D,C,50.0
ARMK,Aramark,3-Hold,42.33,A,A,F,A,75.0
ARLP,Alliance Resource Partners L.P.,2-Buy,19.4,B,A,D,A,87.5
ARVN,Arvinas Inc.,3-Hold,34.8,D,A,C,B,62.5
ARQT,Arcutis Biotherapeutics Inc.,3-Hold,15.01,F,D,C,F,25.0
ASAI,Sendas Distribuidora S.A. Sponsored ADR,3-Hold,17.81,A,A,B,A,75.0
ARNC,Arconic Corporation,3-Hold,21.46,B,B,D,B,62.5
ASAN,Asana Inc.,3-Hold,12.09,F,D,D,F,25.0
ARW,Arrow Electronics Inc.,3-Hold,105.84,A,D,F,D,37.5
ARCE,Arco Platform Limited,5-Strong Sell,12.72,C,B,F,B,37.5
ASC,Ardmore Shipping Corporation,2-Buy,13.27,B,A,D,B,75.0
ASLE,AerSale Corporation,2-Buy,16.29,B,D,B,C,62.5
ASH,Ashland Inc.,3-Hold,104.22,C,F,A,D,37.5
ARRY,Array Technologies Inc.,2-Buy,18.14,B,A,F,A,87.5
ASML,ASML Holding N.V.,2-Buy,569,D,D,D,D,50.0
ASND,Ascendis Pharma AS,4-Sell,121.26,F,F,C,F,12.5
ASO,Academy Sports and Outdoors Inc.,3-Hold,51.85,A,C,B,A,75.0
ATEN,A10 Networks Inc.,3-Hold,16,C,A,C,B,62.5
ASPN,Aspen Aerogels Inc.,3-Hold,10.5,F,F,D,F,25.0
ATGE,Adtalem Global Education Inc.,3-Hold,36.17,A,B,B,A,75.0
ATEC,Alphatec Holdings Inc.,4-Sell,12.15,D,B,B,C,37.5
ATKR,Atkore Inc.,3-Hold,114.89,A,A,D,A,75.0
ATO,Atmos Energy Corporation,2-Buy,109.32,C,D,A,D,50.0
ATRC,AtriCure Inc.,4-Sell,44.61,D,B,B,C,37.5
ATNM,Actinium Pharmaceuticals Inc.,3-Hold,10.13,D,B,D,D,37.5
AU,AngloGold Ashanti Limited,1-Strong Buy,20.68,D,B,F,C,75.0
ATSG,Air Transport Services Group Inc,3-Hold,25.86,A,C,A,A,75.0
AVB,AvalonBay Communities Inc.,3-Hold,158.39,D,C,F,D,37.5
ARIS,Aris Water Solutions Inc.,3-Hold,14.17,B,A,B,A,75.0
ATHM,Autohome Inc.,2-Buy,34.87,B,F,F,F,37.5
ATAT,Atour Lifestyle Holdings Limited Sponsored ADR,3-Hold,19.57,D,B,F,D,37.5
AVGO,Broadcom Inc.,3-Hold,555.77,C,A,C,B,62.5
AVNT,Avient Corporation,4-Sell,35.64,B,C,D,B,50.0
AVID,Avid Technology Inc.,3-Hold,25.98,C,A,D,B,62.5
AVT,Avnet Inc.,4-Sell,41.53,A,D,C,C,37.5
AVTR,Avantor Inc.,4-Sell,20.72,B,C,C,B,50.0
